timestep,seed_ratio,claim_step,replicate,support_ratio
10,0.05,-1,6,0.12538093942908246
11,0.05,-1,6,0.15366634319911043
12,0.05,-1,6,0.18959803928216937
1,0.05,-1,7,0.05270843108179329
2,0.05,-1,7,0.06492706196735946
3,0.05,-1,7,0.08174608954845744
4,0.05,-1,7,0.08817117574902493
5,0.05,-1,7,0.11504893472400897
6,0.05,-1,7,0.1441001697100248
7,0.05,-1,7,0.14971751594363117
8,0.05,-1,7,0.1839523297987666
9,0.05,-1,7,0.20978057495474844
10,0.05,-1,7,0.24280089303548794
11,0.05,-1,7,0.2657618589808237
12,0.05,-1,7,0.29311570668357967
1,0.05,-1,8,0.0476991118337586
2,0.05,-1,8,0.054577437720294136
3,0.05,-1,8,0.07393139974016369
4,0.05,-1,8,0.08274409425982364
5,0.05,-1,8,0.08904706370525482
6,0.05,-1,8,0.09814384274813279
7,0.05,-1,8,0.10546554995262994
8,0.05,-1,8,0.11813058738239457
9,0.05,-1,8,0.14280404725472345
10,0.05,-1,8,0.15398990038483626
11,0.05,-1,8,0.1805539221868139
12,0.05,-1,8,0.17918004040803898
1,0.05,-1,9,0.0400671997219095
2,0.05,-1,9,0.046441001946647846
3,0.05,-1,9,0.05002463480319801
4,0.05,-1,9,0.06649370397639402
5,0.05,-1,9,0.06194882183733826
6,0.05,-1,9,0.06436783651380909
7,0.05,-1,9,0.06024795303989457
8,0.05,-1,9,0.07121453171196021
9,0.05,-1,9,0.07670386158718906
10,0.05,-1,9,0.10116618240132137
11,0.05,-1,9,0.11099169717317268
12,0.05,-1,9,0.12136839240964799
1,0.05,-1,10,0.03080444531692202
2,0.05,-1,10,0.043377956378823766
3,0.05,-1,10,0.03266407359516808
4,0.05,-1,10,0.04256923217429898
5,0.05,-1,10,0.03943303566201521
6,0.05,-1,10,0.03987408081912619
7,0.05,-1,10,0.052846618537843504
8,0.05,-1,10,0.050222732447910645
9,0.05,-1,10,0.07254378520392357
10,0.05,-1,10,0.07833598895123278
11,0.05,-1,10,0.09158806113160484
12,0.05,-1,10,0.09114950491863237
1,0.05,-1,11,0.0363038252846965
2,0.05,-1,11,0.04959950526150807
3,0.05,-1,11,0.08061674549280748
4,0.05,-1,11,0.06366584627919104
5,0.05,-1,11,0.08528787294461473
6,0.05,-1,11,0.08680753581070909
7,0.05,-1,11,0.08524276325930073
8,0.05,-1,11,0.1006499210271001
9,0.05,-1,11,0.11530338710426019
10,0.05,-1,11,0.1332812401628619
11,0.05,-1,11,0.15131721967037212
12,0.05,-1,11,0.15864651469001756
